type	entity
LOCATION	Cambridge
PERSON	Lucrecia Martel
PERSON	Margaret Thatcher
LOCATION	Downing Street
PERSON	St Francis
PERSON	Assi
PERSON	Lynn Gladden
LOCATION	UK
ORGANIZATION	Boeing
PERSON	Stephen Hawking
PERSON	Stephen Hawking
PERSON	Humphreys Thomas
PERSON	Guiney
PERSON	Paragra Stephen Hawking
LOCATION	Cambridge
PERSON	Mrs Woodrow
ORGANIZATION	LZXFpzNEtb RT
LOCATION	UK
LOCATION	USA
LOCATION	Iraq
ORGANIZATION	Whitehall
ORGANIZATION	ACTIONSkettlesyard Don Cambridge
ORGANIZATION	FacultyMaths
LOCATION	UK
PERSON	Stephen
PERSON	Peter Benie
PERSON	Hargreaves
PERSON	Gaia
ORGANIZATION	Fermilab
PERSON	Mark Thomson
PERSON	James Devine Stoneman John Clark Levine Rosie McKeown
PERSON	Matt Hazell
ORGANIZATION	St John RT
ORGANIZATION	University Challenge
ORGANIZATION	BBC
PERSON	Giles Gilbert Scott
ORGANIZATION	Department of Engineering
ORGANIZATION	InternetofThings IoT RT
ORGANIZATION	Cambridge
PERSON	Eske Willerslev
LOCATION	EU
ORGANIZATION	Cambridge
ORGANIZATION	CysticFibrosis Innovation Hub
PERSON	Josh Platzky Miller
LOCATION	Brazil
LOCATION	Syria
LOCATION	Cambridge
ORGANIZATION	BennettInst
PERSON	Lindsay Aqui
ORGANIZATION	Cambridge
PERSON	Dumbledore
ORGANIZATION	Manchester Sheffield
LOCATION	Strathclyde
PERSON	Marthalanefox
ORGANIZATION	Ceres Agritech Knowledge Exchange Partnership
LOCATION	Cambridge
ORGANIZATION	University s Head of the School of Arts amp amp Humanities
PERSON	Priya Gopal
ORGANIZATION	Daily Mail
LOCATION	Cambridge
PERSON	Lewis
ORGANIZATION	Meet Henry Disney
LOCATION	Cambridge
ORGANIZATION	Forbes
LOCATION	Cambridge
LOCATION	UK
PERSON	James Devine Stoneman John Clark Levin Rosie McKeown
PERSON	Matt Hazell
LOCATION	UK
PERSON	Peter Hennessy
ORGANIZATION	Cambridg RT
ORGANIZATION	BBC Radio
LOCATION	US China
LOCATION	UK
ORGANIZATION	Brexit RT
LOCATION	Wren Library
ORGANIZATION	Trinity Hall
PERSON	Lisanne Meulendijks
PERSON	Justin Yerbury
PERSON	Stephen Hawking
LOCATION	Cambridge
PERSON	Caius
PERSON	Stephen Hawking
LOCATION	EU UK
ORGANIZATION	EU
LOCATION	Twickenham Stadium
LOCATION	Nanjing
ORGANIZATION	Cambridge
LOCATION	Whale Hall
LOCATION	Mammal Gallery
PERSON	Stephen Hawking
ORGANIZATION	CaiusCollege
ORGANIZATION	GkglydhFfj RT
ORGANIZATION	ChurchillCol Dining Hall
ORGANIZATION	Cambridge Men s Boat Race Cambridge Bragging
ORGANIZATION	Cambridge Watch
LOCATION	Cambridge
LOCATION	Cambridge
ORGANIZATION	Oxford
PERSON	StephenKissler
PERSON	Julia Gog
LOCATION	Salisbury
PERSON	Putin
LOCATION	Cambridge
PERSON	Frank Stajano
LOCATION	UK
LOCATION	Iceland
LOCATION	UK
PERSON	Stephen Toope
LOCATION	UK
PERSON	Stephen Toope
LOCATION	UK
LOCATION	Cambridge
LOCATION	Silicon Valley
LOCATION	Greenland
LOCATION	Greenland
PERSON	Stephen Hawking
PERSON	Stephen
ORGANIZATION	EvZIKOcNcv RT NASA
PERSON	Stephen
PERSON	Stephen
PERSON	Stephen Hawking
PERSON	Martin Rees
PERSON	Stephen
PERSON	Stephen
LOCATION	Cambridge
LOCATION	Cambridge
LOCATION	Cambridge
PERSON	John Sulston
PERSON	Isaac Newton
PERSON	Edmond Halley
PERSON	Newton
PERSON	Dame Athene Donald
ORGANIZATION	Churchill College ChurchillCol
PERSON	Dame AtheneDonald
PERSON	Melissa Wilson
LOCATION	Italy Germany
LOCATION	Europe
PERSON	Chris Clark
LOCATION	Italy Germany
LOCATION	Europe
PERSON	Merkel
ORGANIZATION	University of Cambridge
PERSON	Zadie Smith
PERSON	Rosalind Franklin
ORGANIZATION	GenderDiversity Read
LOCATION	China
LOCATION	Brazil
PERSON	Pablo Salas
PERSON	Michel Goedert
ORGANIZATION	EarthSciCam Fol RT
PERSON	Clare Grey
LOCATION	Cambridge
ORGANIZATION	CRUKCambridge Early Detection Programme
LOCATION	Cambridge
PERSON	Ahmed Balboula
LOCATION	Cambridge
ORGANIZATION	Humanities amp amp Social Change Foundation
ORGANIZATION	GreatStMarys Cambridge Have
ORGANIZATION	Customs Union
PERSON	Corbyn
PERSON	Luca Peruzzotti Jametti
LOCATION	Cambridge
LOCATION	India
ORGANIZATION	RT
PERSON	Jeremy Corbyn
ORGANIZATION	Cambridge Digital Library
ORGANIZATION	University
PERSON	Patrick Dickinson
PERSON	Scott
LOCATION	Cambridge Royce
PERSON	Stephen Toope
LOCATION	Silicon Valley
LOCATION	Cambridge
PERSON	Charles Darwin
PERSON	Thomas Krieg
PERSON	Jan
LOCATION	Antarctica
PERSON	Ada Lovelace
ORGANIZATION	UN
LOCATION	Cambridge
LOCATION	Cambridge
PERSON	Jan Brighting
ORGANIZATION	Cambridge
PERSON	Simon Schaffer
ORGANIZATION	NikkiHari
PERSON	Aoife Hogan
PERSON	NikkiHari
PERSON	Mee
PERSON	Shaun Fitzgerald
PERSON	Tori McKee
ORGANIZATION	9KwKtaiuom University of Cambridge
ORGANIZATION	Real Living Wage
ORGANIZATION	InclDesignTools
ORGANIZATION	Unilever
LOCATION	UK
PERSON	Elizabeth Marking
PERSON	Millicent Fawcett
LOCATION	Newnham
PERSON	Jack Owens
ORGANIZATION	Cambridge University
PERSON	Graham Virgo
LOCATION	Cambridge
PERSON	Owen Chadwick
ORGANIZATION	Westminster Abbey
ORGANIZATION	MML
ORGANIZATION	HomertonCollege
PERSON	Ben Hetherington
PERSON	Ed
PERSON	Holly
ORGANIZATION	University
LOCATION	Wolfson
PERSON	Selwyn
LOCATION	Cambridge
PERSON	Caius
LOCATION	UK
LOCATION	Europe
ORGANIZATION	LGBT History Month Hughes Hall
ORGANIZATION	CamVetSchool Veterinary Medicine
PERSON	David
PERSON	Helen
PERSON	Philip Hammond
PERSON	Ji
PERSON	Shery Huang
ORGANIZATION	University
ORGANIZATION	Lords Constitution Committee
ORGANIZATION	EU Withdrawal Bill Here
PERSON	Merlin
PERSON	Giulio Regeni
LOCATION	Cambridge
PERSON	Jan Don
PERSON	Mark Thomson
PERSON	Mark Thomson Cambridge_Uni
PERSON	Jo Cox
PERSON	David Runciman
LOCATION	UK
ORGANIZATION	University of Cambridge
LOCATION	Cambridge
ORGANIZATION	University of Cambridge
PERSON	Giulio Regeni
ORGANIZATION	Verity Bradford
PERSON	Duncan Maskell
LOCATION	Cambridge
ORGANIZATION	Astronomer Royal Martin Rees
PERSON	Phil
PERSON	Lewis
ORGANIZATION	Institute of Astronomy
PERSON	Craig Mackay
PERSON	StephenHawking
PERSON	Caius
LOCATION	Americas
ORGANIZATION	Oxford
ORGANIZATION	Oxford amp amp Cambridge Student Conferences
LOCATION	Glasgow Swansea Birmingham Merseys
ORGANIZATION	NvX2zIWjFE RT
ORGANIZATION	Rising Stars Public Engageme RT
LOCATION	UK
LOCATION	Cambridge
PERSON	Margaret Thatcher
PERSON	Vikings
PERSON	Frank Meffert
PERSON	Steve Whitford
PERSON	Doug Waldron
PERSON	Tom Cruise
ORGANIZATION	mJ1H315Uda RT
ORGANIZATION	Cambridge
ORGANIZATION	BBC
PERSON	Steve Whitford
LOCATION	Cambridge
ORGANIZATION	Public Domain Review
PERSON	Gage Skidmore
ORGANIZATION	Starbucks
LOCATION	Cambridge
PERSON	Barack Obaa
PERSON	Stephen
PERSON	Jimmy
ORGANIZATION	Meet Cat Somerville
PERSON	Niamh Buckingham
PERSON	Maria
LOCATION	UK
PERSON	Kate Gross
LOCATION	UK
ORGANIZATION	National Short Story RT
ORGANIZATION	Facebook
PERSON	David Runciman
ORGANIZATION	LRB
PERSON	Stephen Toope
LOCATION	Cambridge
LOCATION	Cambridge
PERSON	Sam Lucy
LOCATION	Cambridge
LOCATION	West Africa
ORGANIZATION	Cambridge_Uni Womens
ORGANIZATION	Cavendish Laboratory
LOCATION	UK
LOCATION	UK
LOCATION	Pembroke
ORGANIZATION	Bec
PERSON	Jonny
PERSON	Owen Weller
PERSON	Isaac Newton
ORGANIZATION	Newnham
ORGANIZATION	Caius
PERSON	Sarah Houghton Walker
PERSON	Isaac Newton
ORGANIZATION	Meet Florence Nabwire
ORGANIZATION	Centre for Digital Built Britain
PERSON	Kiran
PERSON	Ben Slingo
PERSON	Girton
PERSON	Abigail Jenny
PERSON	Matt
PERSON	Don
PERSON	Dame Jocelyn Bell Burnell
ORGANIZATION	first radio pulsar Co RT
LOCATION	Cambridge
PERSON	Jocelyn Bell Burnell
PERSON	Sam Lucy
PERSON	Chris
ORGANIZATION	Caius
PERSON	Hannah the Cambridge_Uni
PERSON	Owen Weller
LOCATION	Baffin Island
LOCATION	Mount Vesuvius
PERSON	Darwin
ORGANIZATION	MCR
LOCATION	Cambridge
ORGANIZATION	CUBG
PERSON	Richard Samworth
PERSON	Diane Reay CambridgeEdFac
PERSON	James Riley
PERSON	Rachael Padman
ORGANIZATION	Barbara Burford Gay Times
ORGANIZATION	Trinity Hall
ORGANIZATION	Front Court
PERSON	Jena
ORGANIZATION	Huawei
ORGANIZATION	RT
ORGANIZATION	Cambridge
PERSON	Kayla
PERSON	Zoubin Ghahramani
ORGANIZATION	Facebook
LOCATION	Cambridge
ORGANIZATION	Cambridge
PERSON	Ben
PERSON	Robert Mair
PERSON	Raghu Rau
PERSON	Jason Scott Warren
PERSON	Robert Mair
PERSON	Barack Obaa
PERSON	Paul Johnson
ORGANIZATION	Cambridge RT
LOCATION	UK
ORGANIZATION	University
PERSON	Rachel Demery
PERSON	Eleanor
LOCATION	England
LOCATION	Italy
PERSON	Eleanor
LOCATION	England
LOCATION	Italy
PERSON	YouGov
PERSON	Potter
LOCATION	Caius
LOCATION	Cambridge
PERSON	Yesim
LOCATION	Cambridge
PERSON	Dan Tucker
PERSON	Jan Brighting
PERSON	Evie Aspinall
PERSON	Evie Aspinall
PERSON	Stephen Toope
LOCATION	Rwanda
LOCATION	Cambridge
ORGANIZATION	CCS
LOCATION	West Antarctic
ORGANIZATION	CUSUWO
LOCATION	Cambridge
PERSON	Alycia
LOCATION	Antarctic
PERSON	Sarah
PERSON	Norah Al Ani CambRapeCrisis
ORGANIZATION	Gp26bNW8Tv University of Cambridge
ORGANIZATION	University of Cambridge
PERSON	Lola Olufemi CUSUWO
PERSON	Lola Olufemi
PERSON	Rogier Kievit
PERSON	Graham Virgo
LOCATION	Cambridge
PERSON	Lucy Cavendish
PERSON	Elvis Presley
ORGANIZATION	JrZ3mWG1tQ RT HomertonCollege Homerton College
PERSON	Dame Barbara Stocking
PERSON	Nicola Padfield
PERSON	Lola Olufemi
PERSON	Eil
ORGANIZATION	Cambridge Rape Crisis Centre
LOCATION	UK
ORGANIZATION	EU
ORGANIZATION	Brexit RT
ORGANIZATION	OGA RT
PERSON	AlanFersht
PERSON	Jenny York
ORGANIZATION	9Kx4zFyRTL RT GirtonCollege News Swirles Court Girton College
LOCATION	Cambridge
LOCATION	Himalaya
LOCATION	Cambridge
PERSON	Himansha
PERSON	Shefali Mehta
LOCATION	Cambridge
PERSON	GravitationalWaves
ORGANIZATION	LIGO
LOCATION	UK
LOCATION	Wren Library
PERSON	Isaac Newton
ORGANIZATION	BBC
ORGANIZATION	NSG7bEie7q RT
PERSON	Brendan Simms
ORGANIZATION	Meet Ed Turner
LOCATION	UK
ORGANIZATION	UCAS
PERSON	Lise Meitner
PERSON	Rosalind Franklin
PERSON	Tim Minshall
ORGANIZATION	Institute for Manufacturing
PERSON	Thatcher
PERSON	Ada Lovelace
ORGANIZATION	Babbage
ORGANIZATION	Cambridge
LOCATION	Greenland
PERSON	Leszek Borysiewicz
ORGANIZATION	Sidney Sussex Boat Club
LOCATION	UK
ORGANIZATION	Brexit AtheneDonald
LOCATION	Caribbean
LOCATION	UK
PERSON	Frank Kelly
PERSON	Fumiya Iida
PERSON	John Richer Cambridge_Uni
LOCATION	Earth
PERSON	Kavita Ramakrishnan
LOCATION	India
ORGANIZATION	IvLHDFwcl RT
PERSON	Richard Henderson
LOCATION	India
PERSON	Michael Fuller
ORGANIZATION	LMB
PERSON	Richard Henderson
ORGANIZATION	A3fVd9OGjc Cambridge
ORGANIZATION	U44U RT
ORGANIZATION	CDC
ORGANIZATION	Cambridge_Uni Cambridge University Students Union
LOCATION	Cambridge
PERSON	Stephen Toope
PERSON	Leszek Borysiewicz
ORGANIZATION	Cambridge
PERSON	Stephen Toope
PERSON	Lara
ORGANIZATION	Google
PERSON	Leszek Borysiewicz
PERSON	Amanda Dennis
ORGANIZATION	Apple
ORGANIZATION	BME
ORGANIZATION	Illuminating Cambridge Libraries
LOCATION	Lake Windermere
ORGANIZATION	BBC Radio
ORGANIZATION	University of Warsaw UW
PERSON	Sarah Burton
PERSON	John
PERSON	Allan McRobie
PERSON	Edward Thomas
ORGANIZATION	BBC
PERSON	Ryan Williams
LOCATION	Cambridge
ORGANIZATION	NHS
PERSON	Hannah
PERSON	Zareen
ORGANIZATION	BBC
ORGANIZATION	BBC
LOCATION	UK
LOCATION	Cambridge
ORGANIZATION	BritishBakeOff Fancy
LOCATION	Cambridge
PERSON	Rebecca
LOCATION	US
LOCATION	Burkina Faso
LOCATION	Yemen
ORGANIZATION	Cambridge
PERSON	Melissa Wilson
PERSON	Holly Hill
PERSON	Leszek Borysiewicz
ORGANIZATION	Cambridge
PERSON	John Cockroft
PERSON	Ian Paterson
LOCATION	Cambridge
LOCATION	Cambridge
LOCATION	UK
LOCATION	US
LOCATION	Cambridge
ORGANIZATION	UK Dementia Research Institute CBCdementia
LOCATION	Germany
LOCATION	Bavaria And is East
LOCATION	Eddington
PERSON	Selwyn
ORGANIZATION	Parliament Square
LOCATION	Cambridge
LOCATION	Eddington
PERSON	Ryan McDonald
PERSON	Tutor ChurchillCol
LOCATION	Cambridge
PERSON	Gwilym
ORGANIZATION	NHS
ORGANIZATION	LPOhENCURZ Research Fellowships
LOCATION	Brussels
ORGANIZATION	University of Ghana Thank you Makerere RT
ORGANIZATION	Cambridge
LOCATION	UK
ORGANIZATION	Cambridge NERCscience
LOCATION	Charlotte
ORGANIZATION	Grand RT
ORGANIZATION	Manea Colony Archaeology of Utopia
PERSON	Tim Minshall Camtechpole
LOCATION	Cambridge
ORGANIZATION	Hogwarts
LOCATION	Cambridge
ORGANIZATION	EU Withdrawal Bill
ORGANIZATION	RT ChristsLibrary College
PERSON	John
PERSON	Lynn
LOCATION	London
LOCATION	Cambridge
PERSON	Werner Herzog
PERSON	Stephen Toope
ORGANIZATION	Munk School
PERSON	Selwyn
LOCATION	NewnhamRoll Garden
ORGANIZATION	DWbcTNdrrc RT IoACOA The old Cambridge Observatory
ORGANIZATION	University
ORGANIZATION	Fitzwilliam Museum RT
PERSON	Hugh Casson
ORGANIZATION	DowningArchives Can RT
ORGANIZATION	MXLUhNNhzh RT
PERSON	Trump
ORGANIZATION	Toshiba Foundation
ORGANIZATION	Kings College Congratulations
PERSON	SamStranks
PERSON	Richard Prager
PERSON	Julian Allwood
ORGANIZATION	Academy
LOCATION	China
PERSON	NorthKorea
PERSON	Eugenia Cheng
ORGANIZATION	Open Cambridge
LOCATION	Cambridge
ORGANIZATION	University Library
PERSON	Darshana Joshi
LOCATION	India
LOCATION	India
PERSON	Jochen Menges
LOCATION	India
PERSON	Helen
PERSON	David
PERSON	Brexit Trump
PERSON	Corbyn
PERSON	Merkel Macron
LOCATION	China
ORGANIZATION	Cambridge
LOCATION	India
LOCATION	UK
ORGANIZATION	Cambridge
LOCATION	UK
PERSON	Ian Hodge
LOCATION	India
LOCATION	Pakistan
ORGANIZATION	College and Library
LOCATION	India
ORGANIZATION	Cambridge
LOCATION	Cambridge American Cemetery
LOCATION	Britain
PERSON	Joe Smallman
ORGANIZATION	University of Cambrid Here
ORGANIZATION	Cambridge University
PERSON	Zach Harper
PERSON	Edie Turner
LOCATION	Calais
PERSON	Robert Tombs
PERSON	John Keiger
PERSON	James Gard
PERSON	Jamil Jami
PERSON	Kevin Baker
PERSON	Saloni Atal
LOCATION	India
ORGANIZATION	GirtonCollege News Glimpses of Girton Puddings
PERSON	Saloni Atal
LOCATION	India
ORGANIZATION	N37Crswb6L RT
LOCATION	China
LOCATION	Burma
LOCATION	Dunkirk
PERSON	Elvis
LOCATION	Australia National Park
ORGANIZATION	Dagenham
LOCATION	Cambridge
PERSON	Will Barnes
ORGANIZATION	Computer Science UTColle RT
PERSON	Phoebe Pickering
LOCATION	Brighton
PERSON	Isabella
ORGANIZATION	Cam RT
PERSON	David
LOCATION	Cambridge
PERSON	Thomas Holmes
PERSON	Gandhi Nehru
LOCATION	India
PERSON	Daniel Braund
PERSON	Miske
ORGANIZATION	Human Social amp amp Political Sciences
PERSON	Izzy
PERSON	Juliette Wrixon
ORGANIZATION	Ffion Price
ORGANIZATION	Cef RT
PERSON	Maia Davies
LOCATION	Cambridge
ORGANIZATION	Cambridge_U RT StJohnRigby Congratulations Olivia
ORGANIZATION	GirtonCollege
PERSON	Matthew
PERSON	Luke
PERSON	Millie
ORGANIZATION	R RT LucyCavColl Congrats
PERSON	Rosemary
PERSON	Zareen
ORGANIZATION	Human Social amp amp Political Sciences RT
PERSON	Ramon
ORGANIZATION	BryntegSchool
PERSON	Emily Williams Brogan Thomas
PERSON	Max Brennan
PERSON	LucyCavColl Rebecka
LOCATION	Karijini National Park
ORGANIZATION	AAA Pia
PERSON	Milly
ORGANIZATION	Digital Marketing Assistant
PERSON	Katie
ORGANIZATION	DHC
PERSON	Ella
PERSON	Katie Ramsay
PERSON	Anna
PERSON	Elizabeth
PERSON	Pretesh Patel
